5                                                                              
id,age,math,science,malay                               
100                                                                        
1192010099,19,93,92,87                                         
1192011131,20,76,87,75                                       
1191107800,19,70,77,82
1181102767,21,19,48,58
1181102234,19,52,37,89
1181103106,21,73,97,38	
1191101434,22,95,87,73	
1171201426,22,58,19,70	
1181103357,22,48,68,18	
1191302878,20,27,55,66	
1191302190,23,99,78,97	
1201301814,19,96,54,100	
1171302596,19,61,48,61	
1181102826,22,76,69,84	
1181103176,22,48,84,77	
1151100293,21,70,72,72	
1181103370,21,71,65,76	
1191302724,22,90,41,31	
1181103320,23,89,98,79	
1181103595,21,82,28,62	
1201301077,19,57,53,37	
1181103263,19,93,51,66	
1181103451,21,65,66,44	
1181103362,20,68,46,53	
1181103073,19,65,97,96	
1181103120,23,34,61,74	
1171201184,19,71,67,96	
1191101533,20,18,28,100	
1181103125,19,34,40,88	
1201300539,20,52,51,17	
1181103182,21,57,97,56	
1201301477,23,48,75,36	
1191102144,23,82,83,51	
1161204152,21,60,31,73	
1201301421,20,77,20,69	
1191303221,22,94,49,99	
1191100350,20,48,37,26	
1191101646,23,38,37,78	
1171103456,19,32,13,45	
1191302815,20,77,40,69	
1181103280,22,29,70,57	
1181103579,23,38,37,78	
1191303361,20,94,47,94	
1191302818,23,68,68,17	
1171203426,20,48,28,67	
1191101423,23,44,83,80	
1181103352,19,72,87,70	
1181103129,21,30,91,44	
1201300401,22,94,49,99	
1191100556,19,32,33,45	
1201301288,21,60,31,73	
1181103501,20,77,40,69	
1181103563,22,62,70,57	
1181103230,23,38,37,78	
1181103260,20,94,47,94	
1191302842,23,68,68,20	
1181103257,20,48,37,67	
1191303323,19,47,43,39	
1201300093,23,44,83,80	
1191302631,20,53,48,89	
1161203924,23,18,54,97	
1191302867,19,71,90,26	
1191101753,21,55,47,60	
1181103271,20,97,36,74	
1191100953,19,84,81,70	
1171202594,20,67,55,98	
1191101338,22,47,35,92	
1191303163,22,100,53,63	
1191100776,19,96,52,49	
1191101830,23,82,83,51	
1191101917,20,52,28,35	
1181103369,23,48,75,36	
1191302768,19,69,79,45	
1181103291,22,97,91,72	
1181103237,19,36,98,45	
1191303329,19,57,53,37	
1181103059,19,36,66,84
1201301079,23,85,68,87	
1181302973,22,69,32,89	
1181102720,21,56,44,65	
1171201392,22,20,35,92	
1191101869,23,82,83,51	
1181302766,22,96,49,99	
1181101885,20,86,73,37	
1161203510,23,83,54,97	
1191101213,19,71,90,30	
1191302826,20,20,96,40	
1181103485,21,70,72,72	
1201301338,22,95,87,73	
1201300829,21,68,99,74	
1181103091,23,85,28,87	
1201301760,20,59,84,80	
1191100706,19,84,81,70	
1191303087,19,96,54,100	
1201301809,20,20,73,75	
1181103087,19,47,43,39	
1181103420,23,85,68,87	
1191101570,19,86,65,14	
1191101645,19,96,52,49	
1191302879,21,73,97,38
